"user_id","total_spent","number_of_scans"
"6535138fdda97e6b1342ea7f",146.65,6
"610b3d5002b8c34bbf3a589d",144.96,6
"5e022fe1daccde120544eb42",140.74,6
"65d00704fe555d15f288ff6e",113.42,6
"624b68bb99e5162ba91c2ac0",104.02,6
"61d0aa0c52baef1444b555f6",99.32,6
"63d8337b55e4cd39e5e17ede",98.87,6
"6632c5871be3d689ceb875c7",95.08,6
"65e4bc2716cc391732143569",90.95,6
"5c13acf1efb01c1db2c4675c",87.94,6
"6183300cf998e47aad2d6f5d",87.39,6
"665eb9ea7c0469953bfbf83f",86.27,6
"638d0bb590ad5449ec5a76ce",85.98,6
"5880326ce4b0e8710935ed3a",83.57,6
"60c809df7153fb41f0336f14",80.56,6
"6621f37cc41e9f27acd82170",73.15,6
"60ad4393df6f743c8a8bb514",73.12,6
"5f177d45165fbc1478f55832",71.27,6
"6417cd30c8c94af10cc23f0b",69.94,6
"63c9dacb39c79dcbdd5dab1c",69.54,6
"62a154951f9dbf1584c66ba8",68.77,6
"601b7fdac3dcfb1296de66d0",66.78,6
"5d9abc841b603a7971146b95",65.85,6
"616f79c8e71ec540b0c4a998",65.64,6
"625b50c7152e472fe0e579be",65.62,6
"62edb3f8678af3b6c96f7ba3",64.94,6
"5f144b3dfecae81499c23e10",64.81,6
"5fe2ab38587931128d28c820",63.47,6
"5e002f3dfa8901120989c663",63.37,6
"5ff21324813c75128063c6aa",61.38,6
"656339da50f017da4e476bc1",61.29,6
"617dd06e067e361ecfdafd10",60.96,6
"62535ab0fc0da6299a70f5ca",60.46,6
"62473c74834ddd30c4f13895",59.43,6
"5f5fc49160803a1610c47e03",58.68,6
"63ca92fb3d310dceeacde3bf",57.88,6
"63af107001cb7c888c71a367",57.54,6
"63af3a329f3fc9c7546ff91d",55.28,6
"62b72c2537e6e08b07750a90",55.10,6
"5fc1b797f08f1a48275408b4",54.41,6
"5dba06b3abb02811aaa11a90",53.96,6
"605678cfbdd5517ab45ea044",53.86,6
"6377b019d55f5b4e9fb7cc5f",53.60,6
"62ffec490d9dbaff18c0a999",52.28,6
"6185d63a6f1d182a23c36d9f",51.86,6
"63e6fbe618d26a8e6a59879b",51.66,6
"6154fd0ab968210fe418cf7d",50.46,6
"5d97f4ae1750dd776dc28fb3",49.95,6
"5ccadcdc3267801e97fa54da",49.95,6
"63e7d87518d26a8e6a5a0efe",49.74,6
"5fe0d613ec5c5012a8c81298",49.30,6
"606ddacdb4ff4024f79b2f4e",48.94,6
"5f6a1e48e3d4f2164a41021b",48.67,6
"64f90bdeb84ba41db3fbf13e",48.48,6
